Datetime,Water Level (m)
2023-03-27 06:00:00,-0.6687046
2023-03-27 07:00:00,-0.52457505
2023-03-27 08:00:00,-0.17161985
2023-03-27 09:00:00,0.12617053
2023-03-27 10:00:00,0.40049073
2023-03-27 11:00:00,0.551604
2023-03-27 12:00:00,0.5090634
2023-03-27 13:00:00,0.25878927
2023-03-27 14:00:00,0.028351055
2023-03-27 15:00:00,-0.1611096
2023-03-27 16:00:00,-0.32048336
2023-03-27 17:00:00,-0.45661947
2023-03-27 18:00:00,-0.5503658
2023-03-27 19:00:00,-0.52676046
2023-03-27 20:00:00,-0.22668636
2023-03-27 21:00:00,0.02445173
2023-03-27 22:00:00,0.2131506
2023-03-27 23:00:00,0.27556697
2023-03-28 00:00:00,0.16235228
2023-03-28 01:00:00,-0.04145719
2023-03-28 02:00:00,-0.21469952
2023-03-28 03:00:00,-0.36627263
2023-03-28 04:00:00,-0.49607465
2023-03-28 05:00:00,-0.6051101
2023-03-28 06:00:00,-0.67968875
2023-03-28 07:00:00,-0.64802814
2023-03-28 08:00:00,-0.37099007
2023-03-28 09:00:00,-0.104186654
2023-03-28 10:00:00,0.15082054
2023-03-28 11:00:00,0.32686225
2023-03-28 12:00:00,0.3763733
2023-03-28 13:00:00,0.26506776
2023-03-28 14:00:00,0.050175425
2023-03-28 15:00:00,-0.12660466
2023-03-28 16:00:00,-0.26657972
2023-03-28 17:00:00,-0.38061166
2023-03-28 18:00:00,-0.4601956
2023-03-28 19:00:00,-0.4836534
2023-03-28 20:00:00,-0.37886938
2023-03-28 21:00:00,-0.19111803
2023-03-28 22:00:00,-0.03035272
2023-03-28 23:00:00,0.075594336
2023-03-29 00:00:00,0.087509684
2023-03-29 01:00:00,-0.026316725
2023-03-29 02:00:00,-0.18098716
2023-03-29 03:00:00,-0.31762972
2023-03-29 04:00:00,-0.43997473
2023-03-29 05:00:00,-0.5365876
2023-03-29 06:00:00,-0.60820884
2023-03-29 07:00:00,-0.62216836
2023-03-29 08:00:00,-0.4791794
2023-03-29 09:00:00,-0.27356395
2023-03-29 10:00:00,-0.07674043
2023-03-29 11:00:00,0.10439753
2023-03-29 12:00:00,0.22559118
2023-03-29 13:00:00,0.24613228
2023-03-29 14:00:00,0.15147734
2023-03-29 15:00:00,-0.004518195
2023-03-29 16:00:00,-0.13503335
2023-03-29 17:00:00,-0.24263912
2023-03-29 18:00:00,-0.3284699
2023-03-29 19:00:00,-0.3795529
2023-03-29 20:00:00,-0.39261115
2023-03-29 21:00:00,-0.35994557
2023-03-29 22:00:00,-0.27679294
2023-03-29 23:00:00,-0.17882696
2023-03-30 00:00:00,-0.11275507
2023-03-30 01:00:00,-0.10057573
2023-03-30 02:00:00,-0.14836709
2023-03-30 03:00:00,-0.23244247
2023-03-30 04:00:00,-0.31492406
2023-03-30 05:00:00,-0.39315164
2023-03-30 06:00:00,-0.46414813
2023-03-30 07:00:00,-0.5172115
2023-03-30 08:00:00,-0.5293183
2023-03-30 09:00:00,-0.4455295
2023-03-30 10:00:00,-0.30472565
2023-03-30 11:00:00,-0.163851
2023-03-30 12:00:00,-0.008500142
2023-03-30 13:00:00,0.12053719
2023-03-30 14:00:00,0.2002048
2023-03-30 15:00:00,0.21686938
2023-03-30 16:00:00,0.17968687
2023-03-30 17:00:00,0.07949301
2023-03-30 18:00:00,-0.04516824
2023-03-30 19:00:00,-0.15936258
2023-03-30 20:00:00,-0.26725227
2023-03-30 21:00:00,-0.35656923
2023-03-30 22:00:00,-0.41296306
2023-03-30 23:00:00,-0.41951987
2023-03-31 00:00:00,-0.33099577
2023-03-31 01:00:00,-0.19109963
2023-03-31 02:00:00,-0.08966759
2023-03-31 03:00:00,-0.033152297
2023-03-31 04:00:00,-0.021729201
2023-03-31 05:00:00,-0.05868182
2023-03-31 06:00:00,-0.14293908
2023-03-31 07:00:00,-0.243711
2023-03-31 08:00:00,-0.33785135
2023-03-31 09:00:00,-0.411053
2023-03-31 10:00:00,-0.46274397
2023-03-31 11:00:00,-0.44970405
2023-03-31 12:00:00,-0.30036885
2023-03-31 13:00:00,-0.11076337
2023-03-31 14:00:00,0.07896331
2023-03-31 15:00:00,0.23963448
2023-03-31 16:00:00,0.33527637
2023-03-31 17:00:00,0.35038066
2023-03-31 18:00:00,0.2546857
2023-03-31 19:00:00,0.07644268
2023-03-31 20:00:00,-0.09919926
2023-03-31 21:00:00,-0.25362366
2023-03-31 22:00:00,-0.38995165
2023-03-31 23:00:00,-0.49828538
2023-04-01 00:00:00,-0.565774
2023-04-01 01:00:00,-0.50988215
2023-04-01 02:00:00,-0.2814137
2023-04-01 03:00:00,-0.09135589
2023-04-01 04:00:00,0.057767708
2023-04-01 05:00:00,0.15304609
2023-04-01 06:00:00,0.15132213
2023-04-01 07:00:00,0.018323619
2023-04-01 08:00:00,-0.15072294
2023-04-01 09:00:00,-0.29405883
2023-04-01 10:00:00,-0.41992417
2023-04-01 11:00:00,-0.5100891
2023-04-01 12:00:00,-0.53885955
2023-04-01 13:00:00,-0.37796652
2023-04-01 14:00:00,-0.12321309
2023-04-01 15:00:00,0.13122506
2023-04-01 16:00:00,0.36308008
2023-04-01 17:00:00,0.50194824
2023-04-01 18:00:00,0.5210202
2023-04-01 19:00:00,0.35923442
2023-04-01 20:00:00,0.118668
2023-04-01 21:00:00,-0.08480562
2023-04-01 22:00:00,-0.2592977
2023-04-01 23:00:00,-0.4135804
2023-04-02 00:00:00,-0.53879017
2023-04-02 01:00:00,-0.62449956
2023-04-02 02:00:00,-0.5426634
2023-04-02 03:00:00,-0.21720947
2023-04-02 04:00:00,0.03583843
2023-04-02 05:00:00,0.23420912
2023-04-02 06:00:00,0.3195619
